Invoice_ID,Branch_ID,Product_ID,Customer_type,Gender,Quantity,Tax_5_percent,Total,sales_timestamp,Payment_type,COGS,Gross_margin_percentage,Gross_income,Rating
145-94-9061,3,29,Normal,Female,5,22.09,463.89,2019-01-25 19:48:00,Cash,441.8,4.761904762,22.09,9.6
848-62-7243,1,30,Normal,Male,9,11.2005,235.2105,2019-03-15 15:36:00,Cash,224.01,4.761904762,11.2005,7.4
871-79-8483,3,31,Normal,Male,5,23.5325,494.1825,2019-02-25 19:39:00,Credit card,470.65,4.761904762,23.5325,4.8
149-71-6266,3,32,Member,Male,9,35.1315,737.7615,2019-01-28 12:43:00,Cash,702.63,4.761904762,35.1315,4.5
640-49-2076,3,33,Normal,Male,8,33.512,703.752,2019-01-10 14:49:00,Cash,670.24,4.761904762,33.512,5.1
595-11-5460,1,34,Normal,Male,2,9.658,202.818,2019-03-15 10:12:00,Credit card,193.16,4.761904762,9.658,5.1
183-56-6882,2,35,Member,Female,4,19.884,417.564,2019-02-06 10:42:00,Ewallet,397.68,4.761904762,19.884,7.5
232-16-2483,2,36,Member,Female,1,3.406,71.526,2019-01-07 12:28:00,Ewallet,68.12,4.761904762,3.406,6.8
129-29-8530,1,37,Member,Male,5,15.655,328.755,2019-03-10 19:15:00,Ewallet,313.1,4.761904762,15.655,7.0
272-65-1806,1,38,Normal,Female,9,27.396,575.316,2019-01-15 17:17:00,Ewallet,547.92,4.761904762,27.396,4.7
333-73-7901,2,39,Normal,Female,8,21.968,461.328,2019-03-23 13:24:00,Ewallet,439.36,4.761904762,21.968,7.6
777-82-7220,3,40,Member,Male,8,12.048,253.008,2019-03-03 13:01:00,Cash,240.96,4.761904762,12.048,7.7
280-35-5823,3,41,Member,Female,1,4.336,91.056,2019-01-17 18:45:00,Ewallet,86.72,4.761904762,4.336,7.9
554-53-8700,2,42,Member,Male,2,5.611,117.831,2019-02-02 10:11:00,Cash,112.22,4.761904762,5.611,6.3
354-25-5821,3,43,Member,Female,6,20.736,435.456,2019-02-08 13:03:00,Cash,414.72,4.761904762,20.736,5.6
228-96-1411,2,44,Member,Female,8,39.48,829.08,2019-03-04 20:39:00,Cash,789.6,4.761904762,39.48,7.6
617-15-4209,2,45,Member,Male,2,1.537,32.277,2019-03-16 19:47:00,Cash,30.74,4.761904762,1.537,7.2
132-32-9879,3,46,Member,Female,4,18.792,394.632,2019-03-09 18:00:00,Cash,375.84,4.761904762,18.792,9.5
370-41-7321,3,47,Member,Male,9,25.5105,535.7205,2019-02-27 17:24:00,Credit card,510.21,4.761904762,25.5105,8.4
727-46-3608,3,48,Member,Female,9,9.0045,189.0945,2019-02-06 15:47:00,Ewallet,180.09,4.761904762,9.0045,4.1
669-54-1719,3,49,Member,Male,6,5.679,119.259,2019-02-10 12:45:00,Credit card,113.58,4.761904762,5.679,8.1
574-22-5561,2,50,Member,Female,10,41.315,867.615,2019-03-19 17:08:00,Ewallet,826.3,4.761904762,41.315,7.9
326-78-5178,2,51,Member,Male,7,31.99,671.79,2019-02-03 10:19:00,Cash,639.8,4.761904762,31.99,9.5
162-48-8011,1,52,Member,Female,5,11.1475,234.0975,2019-02-10 15:10:00,Cash,222.95,4.761904762,11.1475,8.5
616-24-2851,3,53,Member,Female,4,3.574,75.054,2019-03-22 14:42:00,Ewallet,71.48,4.761904762,3.574,6.5
778-71-5554,2,54,Member,Male,1,0.7715,16.2015,2019-01-25 15:46:00,Credit card,15.43,4.761904762,0.7715,6.1
242-55-6721,3,55,Normal,Male,2,1.616,33.936,2019-03-07 11:49:00,Ewallet,32.32,4.761904762,1.616,6.5
399-46-5918,2,56,Normal,Female,8,34.392,722.232,2019-02-28 19:01:00,Cash,687.84,4.761904762,34.392,8.2
106-35-6779,1,57,Member,Male,2,4.434,93.114,2019-03-27 11:26:00,Cash,88.68,4.761904762,4.434,5.8
635-40-6220,1,58,Normal,Male,8,35.84,752.64,2019-02-07 11:28:00,Ewallet,716.8,4.761904762,35.84,6.6
817-48-8732,1,59,Member,Female,10,36.175,759.675,2019-01-20 15:55:00,Cash,723.5,4.761904762,36.175,5.4
120-06-4233,2,60,Normal,Male,6,9.183,192.843,2019-03-12 20:36:00,Cash,183.66,4.761904762,9.183,9.3
285-68-5083,2,61,Member,Female,3,3.711,77.931,2019-02-15 17:47:00,Credit card,74.22,4.761904762,3.711,10.0
803-83-5989,2,62,Normal,Male,6,16.719,351.099,2019-02-24 10:55:00,Ewallet,334.38,4.761904762,16.719,7.0
347-34-2234,3,63,Member,Female,9,24.7815,520.4115,2019-02-03 13:40:00,Ewallet,495.63,4.761904762,24.7815,10.0
199-75-8169,1,64,Member,Male,10,7.905,166.005,2019-03-06 12:27:00,Credit card,158.1,4.761904762,7.905,8.6
853-23-2453,3,65,Member,Male,4,15.148,318.108,2019-02-14 14:35:00,Cash,302.96,4.761904762,15.148,7.6
877-22-3308,1,66,Member,Male,10,7.935,166.635,2019-03-13 16:40:00,Cash,158.7,4.761904762,7.935,5.8
838-78-4295,2,67,Normal,Female,2,3.347,70.287,2019-02-10 15:43:00,Ewallet,66.94,4.761904762,3.347,6.7
109-28-2512,3,68,Member,Female,6,29.283,614.943,2019-01-07 15:01:00,Ewallet,585.66,4.761904762,29.283,9.9
232-11-3025,1,69,Normal,Male,10,39.385,827.085,2019-01-24 10:04:00,Cash,787.7,4.761904762,39.385,6.4
382-03-4532,1,70,Member,Female,1,0.9165,19.2465,2019-02-02 18:50:00,Cash,18.33,4.761904762,0.9165,4.3
393-65-2792,2,71,Normal,Male,10,44.74,939.54,2019-01-06 12:46:00,Credit card,894.8,4.761904762,44.74,9.6
796-12-2025,2,72,Normal,Male,10,31.06,652.26,2019-02-11 16:19:00,Cash,621.2,4.761904762,31.06,5.9
510-95-6347,3,73,Member,Female,3,7.278,152.838,2019-03-05 18:17:00,Ewallet,145.56,4.761904762,7.278,4.0
841-35-6630,2,74,Normal,Female,6,22.773,478.233,2019-03-09 18:21:00,Cash,455.46,4.761904762,22.773,8.7
287-21-9091,1,75,Normal,Male,9,33.6015,705.6315,2019-01-22 10:55:00,Ewallet,672.03,4.761904762,33.6015,9.4
732-94-0499,2,76,Normal,Female,10,20.825,437.325,2019-01-13 17:04:00,Credit card,416.5,4.761904762,20.825,5.4
263-10-3913,2,77,Member,Male,9,22.068,463.428,2019-01-09 14:20:00,Credit card,441.36,4.761904762,22.068,8.6
381-20-0914,1,78,Member,Female,9,9.0045,189.0945,2019-01-12 15:48:00,Credit card,180.09,4.761904762,9.0045,5.7
829-49-1914,2,79,Member,Female,10,39.155,822.255,2019-03-05 16:24:00,Ewallet,783.1,4.761904762,39.155,6.6
756-01-7507,2,80,Normal,Female,5,5.095,106.995,2019-01-22 18:56:00,Cash,101.9,4.761904762,5.095,6.0
870-72-4431,2,81,Normal,Female,6,29.757,624.897,2019-01-21 14:42:00,Credit card,595.14,4.761904762,29.757,5.5
847-38-7188,3,82,Normal,Female,3,14.502,304.542,2019-01-26 19:56:00,Ewallet,290.04,4.761904762,14.502,6.4
480-63-2856,2,83,Normal,Male,8,7.7,161.7,2019-01-23 18:37:00,Ewallet,154.0,4.761904762,7.7,6.6
787-56-0757,2,84,Member,Female,4,16.072,337.512,2019-02-23 18:45:00,Credit card,321.44,4.761904762,16.072,8.3
360-39-5055,2,85,Member,Male,5,12.2275,256.7775,2019-03-09 10:17:00,Cash,244.55,4.761904762,12.2275,6.6
730-50-9884,2,86,Normal,Female,7,29.071,610.491,2019-03-05 14:31:00,Ewallet,581.42,4.761904762,29.071,4.0
362-58-8315,2,87,Normal,Male,5,19.13,401.73,2019-03-25 10:23:00,Cash,382.6,4.761904762,19.13,9.9
633-44-8566,1,88,Member,Male,7,17.283,362.943,2019-03-27 20:35:00,Credit card,345.66,4.761904762,17.283,7.3
504-35-8843,1,89,Normal,Male,1,2.1235,44.5935,2019-01-02 16:57:00,Cash,42.47,4.761904762,2.1235,5.7
318-68-5053,3,90,Normal,Female,6,23.097,485.037,2019-02-27 17:55:00,Cash,461.94,4.761904762,23.097,6.1
565-80-5980,2,91,Member,Female,4,9.476,198.996,2019-01-23 10:25:00,Cash,189.52,4.761904762,9.476,7.1
225-32-0908,2,92,Normal,Female,10,22.43,471.03,2019-01-26 19:54:00,Ewallet,448.6,4.761904762,22.43,8.2
873-51-0671,1,93,Member,Female,7,7.693,161.553,2019-01-10 16:42:00,Ewallet,153.86,4.761904762,7.693,5.1
152-08-9985,3,94,Member,Male,9,28.962,608.202,2019-03-12 12:09:00,Credit card,579.24,4.761904762,28.962,8.6
512-91-0811,2,95,Normal,Male,1,4.4875,94.2375,2019-02-06 20:05:00,Credit card,89.75,4.761904762,4.4875,6.6
594-34-4444,1,96,Normal,Male,1,4.858,102.018,2019-03-08 20:38:00,Ewallet,97.16,4.761904762,4.858,7.2
766-85-7061,3,97,Normal,Male,10,43.935,922.635,2019-03-29 10:25:00,Ewallet,878.7,4.761904762,43.935,5.1
871-39-9221,2,98,Normal,Female,6,3.735,78.435,2019-02-09 13:11:00,Cash,74.7,4.761904762,3.735,4.1
865-92-6136,1,99,Normal,Male,3,7.9125,166.1625,2019-03-23 10:16:00,Ewallet,158.25,4.761904762,7.9125,9.3
733-01-9107,3,100,Normal,Male,6,24.81,521.01,2019-03-05 18:14:00,Cash,496.2,4.761904762,24.81,7.4
163-56-7055,2,101,Member,Male,1,2.4355,51.1455,2019-03-26 19:20:00,Cash,48.71,4.761904762,2.4355,4.1
189-98-2939,2,102,Normal,Male,9,35.3475,742.2975,2019-03-01 13:22:00,Cash,706.95,4.761904762,35.3475,7.2
551-21-3069,2,103,Normal,Female,9,10.3815,218.0115,2019-02-01 11:27:00,Cash,207.63,4.761904762,10.3815,4.9
212-62-1842,1,104,Normal,Male,6,17.478,367.038,2019-03-28 16:44:00,Cash,349.56,4.761904762,17.478,9.9
716-39-1409,3,105,Normal,Male,7,10.6225,223.0725,2019-03-19 18:19:00,Cash,212.45,4.761904762,10.6225,8.0
704-48-3927,1,106,Member,Male,10,44.335,931.035,2019-01-12 14:50:00,Ewallet,886.7,4.761904762,44.335,7.3
628-34-3388,2,107,Normal,Male,6,8.214,172.494,2019-01-05 20:54:00,Credit card,164.28,4.761904762,8.214,7.9
630-74-5166,1,108,Normal,Male,6,18.639,391.419,2019-03-22 20:19:00,Cash,372.78,4.761904762,18.639,7.4
588-01-7461,2,109,Normal,Female,9,15.291,321.111,2019-03-24 10:43:00,Cash,305.82,4.761904762,15.291,4.2
861-77-0145,2,110,Member,Male,10,40.985,860.685,2019-03-03 14:30:00,Cash,819.7,4.761904762,40.985,9.2
479-26-8945,3,111,Member,Female,2,1.649,34.629,2019-02-05 11:32:00,Ewallet,32.98,4.761904762,1.649,4.6
210-67-5886,2,112,Member,Female,3,14.7315,309.3615,2019-02-05 10:41:00,Credit card,294.63,4.761904762,14.7315,7.8
227-78-1148,3,113,Normal,Female,7,25.494,535.374,2019-02-15 12:44:00,Cash,509.88,4.761904762,25.494,8.4
645-44-1170,1,114,Member,Male,9,26.1315,548.7615,2019-01-19 20:07:00,Ewallet,522.63,4.761904762,26.1315,4.3
237-01-6122,2,115,Member,Female,9,36.3555,763.4655,2019-02-01 20:31:00,Credit card,727.11,4.761904762,36.3555,9.5
225-98-1496,2,116,Normal,Female,3,4.053,85.113,2019-03-02 13:01:00,Credit card,81.06,4.761904762,4.053,7.1
291-32-1427,3,117,Member,Male,5,5.485,115.185,2019-03-05 12:29:00,Ewallet,109.7,4.761904762,5.485,5.3
659-65-8956,3,118,Member,Male,1,2.568,53.928,2019-01-16 15:26:00,Ewallet,51.36,4.761904762,2.568,5.2
642-32-2990,1,119,Normal,Female,10,5.48,115.08,2019-02-02 20:48:00,Ewallet,109.6,4.761904762,5.48,6.0
378-24-2715,3,120,Normal,Male,2,5.344,112.224,2019-01-20 20:38:00,Ewallet,106.88,4.761904762,5.344,4.1
638-60-7125,1,121,Normal,Female,8,39.824,836.304,2019-02-14 17:03:00,Credit card,796.48,4.761904762,39.824,5.2
659-36-1684,2,122,Member,Male,7,19.992,419.832,2019-01-12 12:02:00,Credit card,399.84,4.761904762,19.992,6.5
219-22-9386,3,123,Member,Male,9,44.982,944.622,2019-03-09 17:26:00,Credit card,899.64,4.761904762,44.982,4.2
336-78-2147,2,124,Member,Male,8,25.564,536.844,2019-03-13 19:52:00,Credit card,511.28,4.761904762,25.564,4.6
268-27-6179,3,125,Member,Female,8,22.588,474.348,2019-03-09 14:57:00,Ewallet,451.76,4.761904762,22.588,7.3
668-90-8900,1,126,Normal,Female,7,32.7915,688.6215,2019-03-10 18:44:00,Credit card,655.83,4.761904762,32.7915,4.5
870-54-3162,1,127,Normal,Female,5,8.0625,169.3125,2019-01-27 13:26:00,Cash,161.25,4.761904762,8.0625,9.0
189-08-9157,2,128,Normal,Female,9,14.2785,299.8485,2019-01-08 16:17:00,Credit card,285.57,4.761904762,14.2785,5.9
663-86-9076,2,129,Member,Female,8,27.416,575.736,2019-01-08 15:57:00,Ewallet,548.32,4.761904762,27.416,8.5
549-84-7482,3,130,Normal,Female,9,40.626,853.146,2019-02-08 11:15:00,Ewallet,812.52,4.761904762,40.626,7.2
191-10-6171,3,131,Normal,Female,7,13.867,291.207,2019-01-25 13:18:00,Cash,277.34,4.761904762,13.867,7.5
802-70-5316,1,132,Member,Female,6,27.639,580.419,2019-03-06 20:34:00,Cash,552.78,4.761904762,27.639,8.3
695-51-0018,3,133,Normal,Female,4,6.968,146.328,2019-02-10 18:36:00,Cash,139.36,4.761904762,6.968,7.4
590-83-4591,3,134,Member,Male,6,26.235,550.935,2019-02-17 14:40:00,Credit card,524.7,4.761904762,26.235,8.8
483-71-1164,2,135,Normal,Female,6,24.39,512.19,2019-03-08 16:43:00,Ewallet,487.8,4.761904762,24.39,5.3
597-78-7908,2,136,Normal,Male,3,13.533,284.193,2019-02-18 19:39:00,Cash,270.66,4.761904762,13.533,6.2
700-81-1757,1,137,Normal,Female,5,6.5775,138.1275,2019-01-18 20:59:00,Credit card,131.55,4.761904762,6.5775,8.8
354-39-5160,1,138,Member,Female,6,10.326,216.846,2019-02-18 15:39:00,Cash,206.52,4.761904762,10.326,9.8
241-72-9525,3,139,Normal,Male,10,25.955,545.055,2019-02-16 12:21:00,Cash,519.1,4.761904762,25.955,8.2
575-30-8091,1,140,Normal,Male,8,29.0,609.0,2019-03-16 19:25:00,Ewallet,580.0,4.761904762,29.0,9.2
731-81-9469,2,141,Member,Female,10,44.9,942.9,2019-01-23 13:00:00,Credit card,898.0,4.761904762,44.9,5.4
280-17-4359,2,142,Member,Male,10,45.25,950.25,2019-01-25 13:48:00,Cash,905.0,4.761904762,45.25,8.1
338-65-2210,2,143,Member,Female,10,34.3,720.3,2019-02-05 19:57:00,Cash,686.0,4.761904762,34.3,9.1
488-25-4221,2,144,Member,Female,1,1.5205,31.9305,2019-02-22 10:36:00,Credit card,30.41,4.761904762,1.5205,8.4
239-10-7476,1,145,Normal,Female,6,23.385,491.085,2019-01-21 16:37:00,Ewallet,467.7,4.761904762,23.385,8.0
458-41-1477,2,146,Normal,Female,6,13.878,291.438,2019-03-08 17:11:00,Credit card,277.56,4.761904762,13.878,9.5
685-64-1609,1,147,Member,Female,10,15.07,316.47,2019-02-10 12:28:00,Ewallet,301.4,4.761904762,15.07,9.2
568-90-5112,2,148,Normal,Male,4,13.228,277.788,2019-03-19 12:46:00,Credit card,264.56,4.761904762,13.228,5.6
262-47-2794,3,149,Member,Male,8,28.744,603.624,2019-03-06 15:07:00,Credit card,574.88,4.761904762,28.744,6.2
238-49-0436,1,150,Normal,Male,8,12.984,272.664,2019-03-27 13:48:00,Credit card,259.68,4.761904762,12.984,4.9
608-96-3517,3,151,Member,Female,4,18.308,384.468,2019-03-23 19:20:00,Credit card,366.16,4.761904762,18.308,4.8
584-86-7256,2,152,Member,Male,7,12.096,254.016,2019-03-11 16:07:00,Credit card,241.92,4.761904762,12.096,7.3
746-94-0204,1,153,Normal,Male,9,37.458,786.618,2019-01-29 11:56:00,Credit card,749.16,4.761904762,37.458,7.4
214-17-6927,2,154,Normal,Female,6,4.944,103.824,2019-02-07 18:23:00,Ewallet,98.88,4.761904762,4.944,9.9
400-89-4171,2,155,Normal,Female,8,32.388,680.148,2019-01-28 13:05:00,Cash,647.76,4.761904762,32.388,9.3
782-95-9291,1,156,Member,Male,5,23.0725,484.5225,2019-02-20 15:55:00,Credit card,461.45,4.761904762,23.0725,9.0
279-74-2924,3,157,Member,Male,1,3.6085,75.7785,2019-01-04 19:40:00,Cash,72.17,4.761904762,3.6085,6.1
307-85-2293,3,158,Normal,Male,5,12.57,263.97,2019-03-07 13:58:00,Ewallet,251.4,4.761904762,12.57,9.7
743-04-1105,3,159,Member,Male,9,43.749,918.729,2019-03-30 14:43:00,Ewallet,874.98,4.761904762,43.749,6.0
423-57-2993,3,160,Normal,Male,6,28.017,588.357,2019-03-27 19:18:00,Ewallet,560.34,4.761904762,28.017,10.0
894-41-5205,2,161,Normal,Female,8,17.272,362.712,2019-01-19 19:39:00,Credit card,345.44,4.761904762,17.272,8.3
275-28-0149,1,162,Normal,Male,1,3.1845,66.8745,2019-02-25 16:21:00,Cash,63.69,4.761904762,3.1845,6.0
101-17-6199,1,163,Normal,Male,7,16.0265,336.5565,2019-03-13 19:44:00,Credit card,320.53,4.761904762,16.0265,7.0
423-80-0988,2,164,Normal,Male,2,7.64,160.44,2019-01-30 19:42:00,Ewallet,152.8,4.761904762,7.64,6.5
548-46-9322,3,165,Normal,Male,10,19.95,418.95,2019-02-20 15:24:00,Credit card,399.0,4.761904762,19.95,5.9
505-02-0892,3,166,Member,Male,8,17.028,357.588,2019-02-25 14:12:00,Ewallet,340.56,4.761904762,17.028,5.6
234-65-2137,2,167,Normal,Male,10,47.79,1003.59,2019-01-16 13:32:00,Cash,955.8,4.761904762,47.79,4.8
687-47-8271,1,168,Normal,Male,10,49.49,1039.29,2019-02-08 16:20:00,Credit card,989.8,4.761904762,49.49,8.7
796-32-9050,1,169,Normal,Male,6,15.384,323.064,2019-01-19 16:31:00,Cash,307.68,4.761904762,15.384,6.5
105-31-1824,1,170,Member,Male,7,24.332,510.972,2019-02-01 15:10:00,Credit card,486.64,4.761904762,24.332,8.5
249-42-3782,1,171,Normal,Male,5,17.5025,367.5525,2019-01-03 11:36:00,Ewallet,350.05,4.761904762,17.5025,5.5
316-55-4634,3,172,Member,Male,5,20.0125,420.2625,2019-01-26 12:45:00,Credit card,400.25,4.761904762,20.0125,9.4
733-33-4967,2,173,Normal,Male,8,8.34,175.14,2019-03-03 19:17:00,Cash,166.8,4.761904762,8.34,6.3
608-27-6295,3,174,Member,Male,6,15.867,333.207,2019-01-19 17:34:00,Credit card,317.34,4.761904762,15.867,9.8
414-12-7047,3,175,Normal,Male,8,7.916,166.236,2019-01-18 12:04:00,Ewallet,158.32,4.761904762,7.916,8.7
827-26-2100,1,176,Member,Male,9,15.228,319.788,2019-03-21 16:21:00,Ewallet,304.56,4.761904762,15.228,8.8
175-54-2529,1,177,Member,Male,8,8.868,186.228,2019-03-03 17:01:00,Credit card,177.36,4.761904762,8.868,9.6
139-52-2867,2,178,Normal,Female,7,7.8785,165.4485,2019-02-13 10:50:00,Credit card,157.57,4.761904762,7.8785,4.8
407-63-8975,1,179,Normal,Male,6,22.164,465.444,2019-03-23 19:16:00,Ewallet,443.28,4.761904762,22.164,4.4
342-65-4817,2,180,Member,Male,3,13.02,273.42,2019-01-28 16:47:00,Ewallet,260.4,4.761904762,13.02,9.9
130-98-8941,2,181,Normal,Male,7,22.491,472.311,2019-02-09 10:00:00,Cash,449.82,4.761904762,22.491,5.7
434-83-9547,2,182,Member,Male,8,15.388,323.148,2019-01-23 11:51:00,Cash,307.76,4.761904762,15.388,7.7
851-28-6367,1,183,Member,Male,10,7.75,162.75,2019-03-23 10:55:00,Ewallet,155.0,4.761904762,7.75,8.0
824-88-3614,2,184,Normal,Male,8,13.724,288.204,2019-01-25 15:00:00,Ewallet,274.48,4.761904762,13.724,5.7
586-25-0848,1,185,Normal,Female,7,4.319,90.699,2019-03-04 11:19:00,Credit card,86.38,4.761904762,4.319,6.7
895-66-0685,3,186,Member,Male,3,2.712,56.952,2019-03-05 19:46:00,Ewallet,54.24,4.761904762,2.712,8.0
305-14-0245,3,187,Member,Female,8,37.796,793.716,2019-03-03 19:00:00,Ewallet,755.92,4.761904762,37.796,7.5
732-04-5373,3,188,Member,Male,4,9.294,195.174,2019-02-08 10:53:00,Cash,185.88,4.761904762,9.294,7.0
400-60-7251,1,189,Normal,Male,1,3.7035,77.7735,2019-02-10 12:50:00,Ewallet,74.07,4.761904762,3.7035,9.9
593-65-1552,2,190,Normal,Female,4,13.962,293.202,2019-01-28 20:50:00,Credit card,279.24,4.761904762,13.962,5.9
284-34-9626,3,191,Normal,Female,3,11.556,242.676,2019-02-11 10:39:00,Credit card,231.12,4.761904762,11.556,7.2
437-58-8131,3,192,Normal,Female,2,7.352,154.392,2019-01-15 13:41:00,Ewallet,147.04,4.761904762,7.352,4.6
286-43-6208,2,193,Normal,Female,9,39.51,829.71,2019-03-16 19:08:00,Cash,790.2,4.761904762,39.51,9.2
641-43-2399,3,194,Normal,Male,4,5.11,107.31,2019-01-26 20:23:00,Ewallet,102.2,4.761904762,5.11,5.7
831-07-6050,1,195,Normal,Male,5,8.1775,171.7275,2019-03-19 11:30:00,Credit card,163.55,4.761904762,8.1775,9.9
556-86-3144,2,196,Member,Female,1,3.7145,78.0045,2019-01-13 19:30:00,Cash,74.29,4.761904762,3.7145,5.0
848-24-9445,2,197,Member,Male,2,4.37,91.77,2019-03-26 18:03:00,Cash,87.4,4.761904762,4.37,4.9
856-22-8149,1,198,Normal,Female,1,1.2645,26.5545,2019-03-23 10:13:00,Ewallet,25.29,4.761904762,1.2645,6.1
699-01-4164,2,199,Normal,Male,4,8.3,174.3,2019-03-12 19:58:00,Credit card,166.0,4.761904762,8.3,8.2
420-11-4919,2,200,Member,Female,5,17.8475,374.7975,2019-02-17 19:57:00,Credit card,356.95,4.761904762,17.8475,5.5
606-80-4905,2,201,Member,Female,6,5.745,120.645,2019-01-29 10:01:00,Credit card,114.9,4.761904762,5.745,6.8
542-41-0513,3,202,Member,Female,4,11.498,241.458,2019-03-15 11:57:00,Cash,229.96,4.761904762,11.498,6.6
426-39-2418,2,203,Normal,Male,7,21.4935,451.3635,2019-01-14 10:02:00,Cash,429.87,4.761904762,21.4935,9.8
875-46-5808,3,204,Member,Male,10,12.95,271.95,2019-02-06 14:51:00,Ewallet,259.0,4.761904762,12.95,8.7
394-43-4238,3,205,Member,Male,5,4.4425,93.2925,2019-02-15 12:42:00,Credit card,88.85,4.761904762,4.4425,5.4
749-24-1565,1,206,Normal,Female,9,10.3635,217.6335,2019-01-03 12:02:00,Ewallet,207.27,4.761904762,10.3635,7.9
672-51-8681,2,207,Member,Female,9,29.9925,629.8425,2019-01-04 18:19:00,Credit card,599.85,4.761904762,29.9925,9.7
263-87-5680,2,208,Member,Female,10,14.265,299.565,2019-03-18 17:38:00,Ewallet,285.3,4.761904762,14.265,7.8
573-58-9734,3,209,Normal,Female,3,4.5555,95.6655,2019-03-28 13:41:00,Ewallet,91.11,4.761904762,4.5555,5.1
817-69-8206,3,210,Normal,Female,9,44.8785,942.4485,2019-03-02 19:42:00,Credit card,897.57,4.761904762,44.8785,6.5
888-02-0338,1,211,Normal,Male,9,11.8035,247.8735,2019-01-25 20:24:00,Ewallet,236.07,4.761904762,11.8035,5.9
677-11-0152,2,212,Normal,Female,9,41.967,881.307,2019-01-16 18:08:00,Cash,839.34,4.761904762,41.967,8.8
142-63-6033,3,213,Normal,Male,5,23.09,484.89,2019-03-20 19:17:00,Ewallet,461.8,4.761904762,23.09,4.9
656-16-1063,3,214,Normal,Male,3,6.963,146.223,2019-01-04 13:24:00,Credit card,139.26,4.761904762,6.963,4.4
